Name,Role,Org(s),Our excitement level,Their excitement,Help,Needs,Next steps,Vision buy-in / understanding,FSA research bucket,Aspirational FSA role,Slack?,Next step owner
Tianyi Qiu,Researcher,Anthropic,🔥🔥🔥,🥞🥞🥞,😭😭😭,Matched with great advisors,,Adjacent,(m4) allied assistant,Amb,Yes,
Rachel Calcott,Researcher,Harvard University,🔥🔥,🥞,😭😭😭,Better advisors,,Adjacent,"(f1) human-data pipeline, (f4) visualization of norms and values",First author,Yes,Ryan Lowe
Peli Grietzer,"Influencer, Researcher",,🔥,🥞,😭😭😭,"To be engaged with; collaborators, advisors, etc",,Unsure,(m4) allied assistant,,Yes,
Liam Patell,"Networker, Policy, Researcher",GovAI,🔥,🥞🥞🥞,😭😭😭,"First author, needs a spot (or a good project?)",,Bought in,(m1) supernegotiator,"Amb, Steering",Yes,
Ruth Chang,"Professor, Researcher",University of Oxford,🔥🔥,,😭😭😭,Clarify her stated goal; observe mismatch bw current behavior and goal; become aware of + connect with others who are working towards that goal,A 1-1 call where Ryan asks her a lot of questions,Early,(m4) allied assistant,,No,
Vince Conitzer,"Professor, Researcher",CMU,🔥🔥,?,😭😭😭,,Joe reach out,Adjacent,,,Yes,Joe Edelman
Philip Tomei,"Networker, Policy, Researcher",AOI,🔥🔥,🥞🥞🥞,😭😭😭,"Advisors, north stars, talent",,Adjacent,,"Amb, Steering",Yes,
Jobst Heitzig,"Professor, Researcher",Potsdam Institute for Climate Research,🔥🔥,🥞🥞,😭😭😭,Slotted as ‘subject matter advisor’; good teams to work on his project,,Early,(m4) allied assistant,,Yes,
Luke Thorburn,Researcher,AI and Democracy Foundation,🔥🔥,🥞🥞,😭😭,More engaged advisors,,,(m1) supernegotiator,,Yes,Joe Edelman
Seb Krier,"Influencer, Policy, Researcher",Deepmind,🔥🔥,🥞,😭😭,Connect with other experts,Joe reach out for COAN builder call,Adjacent,"(m1) supernegotiator, (m2) public resource regulator","Amb, Steering",No,
Sam Hammond,"Influencer, Policy, Researcher",The Foundation for American Innovation,🔥🔥🔥🔥,,😭😭,Connect with other experts,Joe reach out for COAN builder call,Adjacent,(m0) Full-Stack Social Theory & Revolution,Policy advocate,No,Joe Edelman
Zhonghao He,Researcher,University of Cambridge,🔥,🥞🥞🥞,😭😭,Same as Tianyi,,Adjacent,(m4) allied assistant,Amb,Yes,
Jamelle WD,Researcher,Meta,🔥🔥🔥🔥,🥞🥞🥞,😭😭,To be engaged in work she finds exciting,Joe reach out,Bought in,(m0) Full-Stack Social Theory & Revolution,,Yes,
Aviv Ovadya,"Executive, Researcher",AI and Democracy Foundation,🔥🔥,🥞🥞🥞,😭😭,More direction on ‘collective alignment’ project; talent pipeline,,Bought in,,Steering,Yes,
Atrisha Sarkar,"Professor, Researcher",Western University,🔥,🥞🥞,😭😭,Not sure quite what to do; wants good students,,Unsure,,,Yes,
Adam Morris,Researcher,Princeton University,🔥🔥,🥞🥞,😭😭,"Could be a first author, needs a mission",,Bought in,,,Yes,
David Duvenaud,"Professor, Researcher",University of Toronto,🔥🔥,🥞🥞,😭😭,More in-depth strategic thinking,"Set up a ‘field building brainstorming call’ with David, Jan K, Raymond; maybe a ‘AI alignment field builders’ signal chat?",Adjacent,,,Yes,
Atoosa Kasirzadeh,"Professor, Researcher",CMU,🔥🔥,🥞🥞,😭😭,Slotted as ‘subject matter advisor’,,Adjacent,,,Yes,
Gillian Hadfield,"Professor, Researcher",Johns Hopkins,🔥🔥🔥🔥,🥞🥞,😭😭,To be matched with great teams,,Adjacent,(m2) public resource regulator,,Yes,
Iason Gabriel,Researcher,Deepmind,🔥🔥🔥🔥,🥞🥞,😭😭,To feel part of a greater mission,Empower him to feel more like part of the team — make him an FSA ambassador?,Bought in,(m2) public resource regulator,"Amb, Lieutenant, Steering",Yes,
Philipp Koralus,Researcher,University of Oxford,🔥🔥,🥞🥞,😭😭,Higher quality teams,,Bought in,(m4) allied assistant,Lieutenant,Yes,
Harvey Lederman,Researcher,UT Austin,🔥🔥,🥞🥞,😭,Being part of a mission that he feels excited about,,,,,No,
Judd Rosenblatt,Researcher,AE Studio,🔥🔥🔥,,😭,Some kind of reorg help,,Adjacent,(f1) human-data pipeline,,No,
Ryan Kearns,Researcher,University of Oxford,🔥🔥,🥞🥞🥞,😭,Better advisors?,,Adjacent,,"Amb, Steering",Yes,
Andrew Konya,"Builder, Researcher",Remesh,🔥,🥞🥞,"🔒, 😭",Wants to be part of a mission that he believes in; maybe advice on some projects? regular call?,,Adjacent,,,Yes,
Jakob Foerster,"Professor, Researcher",University of Oxford,🔥🔥🔥🔥,🥞🥞,😭,"Overcome by grad students, not advising the people who are most research aligned",Schedule the oxf workshop and get him going,Adjacent,(m1) supernegotiator,PI,Yes,Joe Edelman
Sydney Levine,"Professor, Researcher","Deepmind, NYU",🔥,🥞🥞,😭,More space to really think,,Early,(f2) normative adaptation,,Yes,
Tan Zhi-Xuan,Researcher,"MIT, National University of Singapore",🔥🔥🔥🔥,🥞🥞🥞,😭,Peers are good,Joe reach out to update on what we’ve done,Bought in,"(f2) normative adaptation, (m2) public resource regulator","Amb, Research lead, Steering",Yes,Joe Edelman
Yonadav Shavit,Researcher,OpenAI,🔥🔥🔥,,❓,,Ryan reach out about MATS program,Find out,,Lieutenant,No,Ryan Lowe
