Name,Role,Org(s),Our excitement level,Their excitement,Help,Needs,Next steps,Vision buy-in / understanding,FSA research bucket,Aspirational FSA role,Slack?,Next step owner,Engagement Type,Position Class,Confidence
Tianyi Qiu,Researcher,Anthropic,🔥🔥🔥,🥞🥞🥞,😭😭😭,Matched with great advisors,,Adjacent,(m4) allied assistant,Amb,Yes,,honorarium-commission,postdoc-or-phd,high
Rachel Calcott,Researcher,Harvard University,🔥🔥,🥞,😭😭😭,Better advisors,,Adjacent,"(f1) human-data pipeline, (f4) visualization of norms and values",First author,Yes,Ryan Lowe,honorarium-commission,postdoc-or-phd,high
Peli Grietzer,"Influencer, Researcher",,🔥,🥞,😭😭😭,"To be engaged with; collaborators, advisors, etc",,Unsure,(m4) allied assistant,,Yes,,advisory,independent-or-unknown,low
Liam Patell,"Networker, Policy, Researcher",GovAI,🔥,🥞🥞🥞,😭😭😭,"First author, needs a spot (or a good project?)",,Bought in,(m1) supernegotiator,"Amb, Steering",Yes,,honorarium-commission,postdoc-or-phd,high
Ruth Chang,"Professor, Researcher",University of Oxford,🔥🔥,,😭😭😭,Clarify her stated goal; observe mismatch bw current behavior and goal; become aware of + connect with others who are working towards that goal,A 1-1 call where Ryan asks her a lot of questions,Early,(m4) allied assistant,,No,,embedded-postdoc,tenured-faculty,high
Vince Conitzer,"Professor, Researcher",CMU,🔥🔥,?,😭😭😭,,Joe reach out,Adjacent,,,Yes,Joe Edelman,embedded-postdoc,tenured-faculty,high
Philip Tomei,"Networker, Policy, Researcher",AOI,🔥🔥,🥞🥞🥞,😭😭😭,"Advisors, north stars, talent",,Adjacent,,"Amb, Steering",Yes,,honorarium-commission,policy-org,high
Jobst Heitzig,"Professor, Researcher",Potsdam Institute for Climate Research,🔥🔥,🥞🥞,😭😭😭,Slotted as ‘subject matter advisor’; good teams to work on his project,,Early,(m4) allied assistant,,Yes,,advisory,pre-tenure-faculty,high
Luke Thorburn,Researcher,AI and Democracy Foundation,🔥🔥,🥞🥞,😭😭,More engaged advisors,,,(m1) supernegotiator,,Yes,Joe Edelman,honorarium-commission,unknown,medium
Seb Krier,"Influencer, Policy, Researcher",Deepmind,🔥🔥,🥞,😭😭,Connect with other experts,Joe reach out for COAN builder call,Adjacent,"(m1) supernegotiator, (m2) public resource regulator","Amb, Steering",No,,advisory,industry,high
