Date,Description,Amount,Currency,Tax Deductible Category,Has Invoice / Receipt
2024-01-05,GROCERY STORE PURCHASE,-45.67,USD,N/A,FALSE
2024-01-08,GITHUB.COM - ANNUAL SUBSCRIPTION,-48.00,USD,Software,FALSE
2024-01-10,STARBUCKS COFFEE,-5.25,USD,N/A,FALSE
2024-01-12,ZOOM.US - MONTHLY,-14.99,USD,Software,FALSE
2024-01-15,UBER TRIP TO AIRPORT,-52.30,USD,Professional Travel,FALSE
2024-01-15,DELTA AIRLINES - TICKET,-385.00,USD,Professional Travel,FALSE
2024-01-18,AMAZON WEB SERVICES,-127.45,USD,Software,FALSE
2024-01-20,WEWORK COWORKING - MONTHLY,-450.00,USD,Co-Working Space,FALSE
2024-01-22,VERIZON WIRELESS,-85.00,USD,Phone/Internet,FALSE
2024-01-25,APPLE.COM - MACBOOK PRO,-2499.00,USD,Computer Hardware,FALSE
2024-01-28,FIGMA - PROFESSIONAL,-12.00,USD,Software,FALSE
2024-02-01,DINNER AT RESTAURANT,-78.50,USD,N/A,FALSE
2024-02-03,COMCAST INTERNET,-99.99,USD,Phone/Internet,FALSE
2024-02-05,NOTION - TEAM PLAN,-8.00,USD,Software,FALSE
2024-02-08,UPWORK FREELANCER PAYMENT,-500.00,USD,Professional Services,FALSE
2024-02-10,LINEAR.APP - STANDARD,-8.00,USD,Software,FALSE
2024-02-12,REGUS OFFICE - MEETING ROOM,-75.00,USD,Co-Working Space,FALSE
2024-02-15,LYFT RIDE,-28.50,USD,Professional Travel,FALSE
2024-02-18,GOOGLE WORKSPACE,-12.00,USD,Software,FALSE
2024-02-20,AT&T MOBILE,-95.00,USD,Phone/Internet,FALSE
2024-02-22,NETFLIX SUBSCRIPTION,-15.99,USD,N/A,FALSE
2024-02-25,LOGITECH - WEBCAM,-129.99,USD,Computer Hardware,FALSE
2024-02-28,SLACK TECHNOLOGIES,-7.25,USD,Software,FALSE
2024-03-01,HILTON HOTELS - CONFERENCE,-289.00,USD,Professional Travel,FALSE
2024-03-05,ADOBE CREATIVE CLOUD,-54.99,USD,Software,FALSE
2024-03-08,LEGAL CONSULTATION,-350.00,USD,Professional Services,FALSE
2024-03-10,SPOTIFY PREMIUM,-9.99,USD,N/A,FALSE
2024-03-12,GRAMMARLY - ANNUAL,-144.00,USD,Software,FALSE
2024-03-15,INDUSTRIOUS COWORK,-350.00,USD,Co-Working Space,FALSE
2024-03-18,AMERICAN AIRLINES,-425.00,USD,Professional Travel,FALSE
2024-03-20,T-MOBILE MONTHLY,-80.00,USD,Phone/Internet,FALSE
2024-03-22,DELL - MONITOR,-549.99,USD,Computer Hardware,FALSE
2024-03-25,OPENAI API CREDITS,-100.00,USD,Software,FALSE
2024-03-28,CPA TAX PREPARATION,-450.00,USD,Professional Services,FALSE
2024-03-30,1PASSWORD - FAMILY,-4.99,USD,Software,FALSE
