rank,name,archetype,tier,fit_score,ranked_score,commune,postcode,address,lat,lon,phone,email,website,reasoning,sources,source_id
1,Accrobranche de Montgeon,accrobranche,A,10.0,14.00,Le Havre,76610,Au bout de l'avenue Raoul Mail,49.5158626,0.1474803,+33 2 35 21 26 22,contact@lhaventures.fr,https://www.lhaventures.fr/,"Existing accrobranche venue with climbing_adventure infrastructure, established operator, proven audience, and obvious budget capacity; perfect reference customer or upgrade opportunity.",osm,osm:node/6553610785
2,AccroCamp Forêt de meudon - Chaville,accrobranche,A,10.0,14.00,Chaville,92370,"Parc Forestier de la Mare Adam, Rte des Huit Bouteilles",48.8050646,2.1931045,,,https://www.accrocamp.com/parcs-accrobranche/chaville/,"Established accrobranche operator in Forêt de Meudon with business-type operator designation, proven climbing_adventure positioning, and clear $5k+ budget; ideal fit as partner or expansion client.",osm,osm:way/1395989927
3,Parc Krobranche,accrobranche,A,10.0,14.00,,,,50.0331549,2.2850546,,,https://citesouterrainedenaours.fr/citesouterraine/presentation-accrobranche/,"Existing accrobranche park already operates climbing/adventure infrastructure, has mature tree anchors, serves adventure-seeking audience, and clearly has $5k+ budget—ideal partner for rope-net expansion.",osm,osm:node/6926346903
4,Parc Aventure du Thureau Auxerre - Accrobranche,accrobranche,A,10.0,14.00,,,,47.8253867,3.5993359,,,,"Established accrobranche park in Auxerre with climbing-adventure archetype and sports centre infrastructure; proven budget, mature trees, and aligned customer base make this an excellent fit.",osm,osm:node/8963864572
5,Parcours Lémurien,accrobranche,A,9.0,12.60,Champagne-sur-Seine,77430,31 Rue Pierre de Coubertin,48.3992753,2.8101664,+33 768257132,contact@parcours-lemuriens.com,https://www.parcours-lemurien.com/,Existing accrobranche operator with climbing_adventure infrastructure and sports centre setup—perfect anchor point and established customer base for rope-net upsell. Already positioned for adventure activities and likely has trees and budget.,osm,osm:node/546445211
6,Accrobranches,accrobranche,A,9.0,12.60,,,,48.4091274,2.4483162,,,,Existing accrobranche operator tagged with climbing_adventure and tourism attraction; established in adventure market with proven infrastructure and likely customer base for rope-net installation.,osm,osm:node/703631190
7,Atout Branches,accrobranche,A,9.0,12.60,,,,48.4088041,2.4492097,,,,"Active accrobranche sports centre with climbing_adventure sport tag and sports_centre classification. Perfect operator profile with existing infrastructure, budget, and audience.",osm,osm:node/10002830845
8,Tépacap,accrobranche,A,9.0,12.60,,,,47.9754368,0.2450134,,,https://www.tepacap-lemans.fr/,"Established accrobranche operator with climbing_adventure sport and sports_centre setup; proven infrastructure, audience, and budget for rope-net enhancement.",osm,osm:node/1612236037
9,La Ferme des Noyers,treehouse_hotel,A,9.0,12.60,,,,47.9978466,0.2632156,,,,La Ferme des Noyers (treehouse hotel) explicitly signals mature trees on-site and adventure-oriented positioning; premium accommodation suggests discretionary budget and long-term control of outdoor space.,osm,osm:way/1178599632
10,No Limit Aventure,accrobranche,A,9.0,12.60,,,,48.7322069,2.6885208,+33 6 07 60 73 72,,http://nolimit-aventure.com/chevry-cossigny/,"Existing accrobranche operator with climbing_adventure sport tag and sports_centre infrastructure already in place; likely owns trees, has $5k+ budget, and audience perfectly aligned.",osm,osm:node/5434779804
11,Gadawi Park sud,accrobranche,A,9.0,12.60,,,Avenue du Lac,47.3485284,0.6417483,+33 7 81 48 82 39,,https://www.gadawi-park.fr/,"Established accrobranche park (Gadawi) with proven climbing infrastructure; owns or controls outdoor space, has budget capacity, and serves adventure-seeking families.",osm,osm:node/5616465525
12,Hapik,accrobranche,A,9.0,12.60,Saran,45770,,47.9625515,1.8814722,+33 238420182,,https://hapik.fr,"Hapik accrobranche in Saran operates climbing_adventure sports on established sites; proven operator with infrastructure, budget, and family/adventure audience.",osm,osm:node/5632256640
13,Accrocamp Saint germain en Laye,accrobranche,A,9.0,12.60,Saint-Germain-en-Laye,78100,"48 Parc Forestier de la Charmeraie, Rue Albert Priolet",48.9046893,2.0746485,,,https://www.accrocamp.com/parcs/saint-germain-en-laye/,"Accrocamp in Saint-Germain-en-Laye is established accrobranche operator with business model, climbing_adventure sport tag, and proven audience; strong infrastructure and budget likelihood.",osm,osm:node/6420648285
14,L'Abri Côtier,treehouse_hotel,A,9.0,12.60,,,,49.855786,0.8007635,+33 2 35 60 73 34,,https://www.gites-de-france.com/fr/normandie/seine-maritime/labri-cotier-76g1315,Treehouse hotel archetype strongly suggests mature trees on-site and premium pricing ($5k+ budget likely); operator clearly values aerial/outdoor experiences and adventure positioning.,osm,osm:way/118239319
