rank,name,archetype,tier,fit_score,ranked_score,email,phone,website,commune,postcode,reasoning
1,Accrobranche de Montgeon,accrobranche,A,10.0,14.00,contact@lhaventures.fr,+33 2 35 21 26 22,https://www.lhaventures.fr/,Le Havre,76610,"Existing accrobranche venue with climbing_adventure infrastructure, established operator, proven audience, and obvious budget capacity; perfect reference customer or upgrade opportunity."
2,Parcours Lémurien,accrobranche,A,9.0,12.60,contact@parcours-lemuriens.com,+33 768257132,https://www.parcours-lemurien.com/,Champagne-sur-Seine,77430,Existing accrobranche operator with climbing_adventure infrastructure and sports centre setup—perfect anchor point and established customer base for rope-net upsell. Already positioned for adventure activities and likely has trees and budget.
3,AccroCamp Giverny,accrobranche,A,9.0,12.60,bouclesdeseine@accrocamp.com,+33 6 21 13 14 09,https://accrocamp.com/parcs/giverny-boucles-de-seine-78/,,,"AccroCamp Giverny is explicitly adventure_park with climbing_adventure focus; established operator near Paris with proven model, family audience, and outdoor mature-tree infrastructure."
4,Saint-Benoît Aventure,accrobranche,A,9.0,12.60,saintbenoitaventure@free.fr,+336 89 07 18 96,http://saintbenoitaventure.com/,,,Already operates an accrobranche facility with existing climbing adventure infrastructure and mature audience of adventure-seekers; perfect fit for rope-net upgrade/expansion.
5,Le Baud'Rillé,accrobranche,A,9.0,12.60,lebaudrille@gmail.com,+33 6 95 58 84 52,https://www.lebaudrille.fr/,,,"Accrobranche operator (Le Baud'Rillé) with climbing_adventure focus; established outdoor infrastructure, family audience, and operational budget make this ideal for rope-net expansion."
6,La Cabane de Papa,treehouse_hotel,A,9.0,12.60,sylvaincoppens@gmail.com,+32 498 05 82 17,,Viroinval,5670,Treehouse hotel explicitly designed around trees; targets adventure-seeking families; tier-A status indicates budget capacity for premium outdoor installations.
7,Les Gîtes d'Abroises,treehouse_hotel,A,9.0,12.60,contact@villaeugeniemelun.fr,+33660674021,https://villaeugeniemelun.fr/,Melun,77000,"Treehouse-hotel archetype strongly suggests mature trees on-site, adventure-seeking clientele, and operator with discretionary budget and outdoor recreation focus; excellent fit."
8,Eclosion de Lumière,treehouse_hotel,A,9.0,12.60,eclosiondelumiere@gmail.com,+33 7 81 61 01 86,https://www.eclosiondelumiere.com/,Montmirail,51210,"Treehouse hotel in Montmirail confirms adventure/tree-focused business model, mature trees on property, and premium audience seeking outdoor experiences. Strong budget and alignment."
9,Gite Valami,treehouse_hotel,A,9.0,12.60,contact@relais-valami.fr,+33 2 47 96 98 74,http://www.relais-valami.fr/,,,Treehouse hotel archetype strongly implies mature trees on-site and inherent appeal to adventure/outdoor-play audiences. Premium positioning and owned land make budget feasible.
10,O'Berges de l'Ouche,treehouse_hotel,A,9.0,12.60,contact@valleedelouche.com,+33 6 08 48 33 86,https://www.valleedelouche.com/,,,"Treehouse hotel explicitly tree-based with outdoor adventure focus; premium market positioning supports $5k investment, family-friendly audience, owned property."
